message_id,dm_ntype,dm_stype,emergency_level,issued_at,issuing_agency,message_content
239884,호우,,긴급재난,2025-07-17 05:53:41,기상청,05:50 아산시 송악면 인근 50mm/h 이상 강한 비로 침수 등 우려(국민행동요령: cbs042.kma.go.kr) Heavy rain
242061,폭염,,안전안내,2025-07-22 14:02:14,함안군,"함안군 무더위 지속 중 ▲한낮 야외작업 자제 ▲작업장 안전과 비닐하우스 작업에 주의 ▲충분한 물 섭취, 그늘에서 휴식 등 건강관리에 유의하시기 바랍니다."
232569,산불,,안전안내,2025-03-29 14:53:37,곡성군,"연일 건조하고 강풍으로 대형산불 발생 중 ▲성묘 입산 자제 ▲ 논밭두렁 태우기, 영농부산물 소각 절대금지 ▲ 산불발견 시 즉시 신고바랍니다. "
248254,기타,,안전안내,2025-08-29 16:01:45,충청남도,"물놀이 안전사고 예방을 위해 준비운동 구명조끼 착용, 위험지역 접근금지, 야간·우천·음주수영금지, 어린이는 보호자와 함께하기 등 안전수칙 준수바랍니다."
234533,강풍,,안전안내,2025-04-12 18:31:34,해운대구,"새벽까지 비를 동반한 매우 강한 바람이 불 것으로 예상됩니다. ▲간판낙하, 자재날림 등 낙하물 주의 ▲고층건물 주변 외출자제 등 안전에 유의 바랍니다."
237266,폭염,,안전안내,2025-06-28 10:35:51,영덕군,"금일 11:00 영덕군 폭염주의보 발효 예정. 야외 활동 자제, 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의."
240288,홍수,,안전안내,2025-07-17 13:43:28,영산강홍수통제소,"오늘 13:40 증암천 담양군(양지교)지점 홍수주의보. 피해에 대비 바랍니다. 내 위치, 침수우려지역 확인 vo.la/aMglaQo"
247201,폭염,,안전안내,2025-08-22 10:30:51,오산시,"지속적인 무더위로 온열질환 발생 위험이 높으니 폭염 예방수칙(물,그늘,휴식,보냉장구,응급조치)준수 등 안전관리에 유의하시기 바랍니다."
234110,산불,,안전안내,2025-04-10 17:00:08,나주시,"산불재난 국가위기경보 심각 단계 발령, 실수로 산불을 냈더라도 벌금, 징역 등 강력한 처벌을 받게되니, 산림인접지역 소각행위 금지 등 주의바랍니다. "
237183,폭염,,안전안내,2025-06-27 10:29:41,사상구,"금일(6.27.) 10시 폭염주의보 발표(11시 발효). 한낮 야외활동 자제, 폭염안전수칙(물, 그늘, 주기적 휴식) 준수 등 건강관리에 유의바랍니다."
